agency_cd,site_no,datetime,tz_cd,01_00060,01_00060_cd,02_00065,02_00065_cd
USGS,09163500,1/1/16 0:00,MST,3510,P,3.78,P
USGS,09163500,1/1/16 0:15,MST,3510,P,3.78,P
USGS,09163500,1/1/16 0:30,MST,3490,P,3.77,P
USGS,09163500,1/1/16 0:45,MST,3490,P,3.77,P
USGS,09163500,1/1/16 1:00,MST,3470,P,3.76,P
USGS,09163500,1/1/16 1:15,MST,3460,P,3.75,P
USGS,09163500,1/1/16 1:30,MST,3420,P,3.73,P
USGS,09163500,1/1/16 1:45,MST,3410,P,3.72,P
USGS,09163500,1/1/16 2:00,MST,3390,P,3.71,P
USGS,09163500,1/1/16 2:15,MST,3390,P,3.7,P
USGS,09163500,1/1/16 2:30,MST,3360,P,3.68,P
USGS,09163500,1/1/16 2:45,MST,3340,P,3.67,P
USGS,09163500,1/1/16 3:00,MST,3340,P,3.67,P
USGS,09163500,1/1/16 3:15,MST,3320,P,3.66,P
USGS,09163500,1/1/16 3:30,MST,3310,P,3.65,P
USGS,09163500,1/1/16 3:45,MST,3310,P,3.65,P
USGS,09163500,1/1/16 4:00,MST,3290,P,3.64,P
USGS,09163500,1/1/16 4:15,MST,3270,P,3.63,P
USGS,09163500,1/1/16 4:30,MST,3270,P,3.63,P
USGS,09163500,1/1/16 4:45,MST,3260,P,3.62,P
USGS,09163500,1/1/16 5:00,MST,3260,P,3.62,P
USGS,09163500,1/1/16 5:15,MST,3230,P,3.6,P
USGS,09163500,1/1/16 5:30,MST,3240,P,3.61,P
USGS,09163500,1/1/16 5:45,MST,3230,P,3.6,P
USGS,09163500,1/1/16 6:00,MST,3230,P,3.6,P
USGS,09163500,1/1/16 6:15,MST,3230,P,3.59,P
USGS,09163500,1/1/16 6:30,MST,3210,P,3.58,P
USGS,09163500,1/1/16 6:45,MST,3210,P,3.58,P
USGS,09163500,1/1/16 7:00,MST,3190,P,3.57,P
USGS,09163500,1/1/16 7:15,MST,3160,P,3.55,P
USGS,09163500,1/1/16 7:30,MST,3140,P,3.54,P
USGS,09163500,1/1/16 7:45,MST,3140,P,3.54,P
USGS,09163500,1/1/16 8:00,MST,3180,P,3.56,P
USGS,09163500,1/1/16 8:15,MST,3160,P,3.55,P
USGS,09163500,1/1/16 8:30,MST,3160,P,3.55,P
USGS,09163500,1/1/16 8:45,MST,3180,P,3.56,P
USGS,09163500,1/1/16 9:00,MST,3140,P,3.54,P
USGS,09163500,1/1/16 9:15,MST,3180,P,3.56,P
USGS,09163500,1/1/16 9:30,MST,3160,P,3.55,P
USGS,09163500,1/1/16 9:45,MST,3160,P,3.55,P
USGS,09163500,1/1/16 10:00,MST,3160,P,3.55,P
USGS,09163500,1/1/16 10:15,MST,3160,P,3.55,P
USGS,09163500,1/1/16 10:30,MST,3160,P,3.55,P
USGS,09163500,1/1/16 10:45,MST,3190,P,3.57,P
USGS,09163500,1/1/16 11:00,MST,3190,P,3.57,P
USGS,09163500,1/1/16 11:15,MST,3230,P,3.6,P
USGS,09163500,1/1/16 11:30,MST,3270,P,3.63,P
USGS,09163500,1/1/16 11:45,MST,3310,P,3.65,P
USGS,09163500,1/1/16 12:00,MST,3370,P,3.69,P
USGS,09163500,1/1/16 12:15,MST,3360,P,3.68,P
USGS,09163500,1/1/16 12:30,MST,3390,P,3.71,P
USGS,09163500,1/1/16 12:45,MST,3440,P,3.74,P
USGS,09163500,1/1/16 13:00,MST,3490,P,3.77,P
USGS,09163500,1/1/16 13:15,MST,3530,P,3.79,P
USGS,09163500,1/1/16 13:30,MST,3560,P,3.81,P
USGS,09163500,1/1/16 13:45,MST,3590,P,3.84,P
USGS,09163500,1/1/16 14:00,MST,3630,P,3.86,P
USGS,09163500,1/1/16 14:15,MST,3660,P,3.88,P
USGS,09163500,1/1/16 14:30,MST,3680,P,3.89,P
USGS,09163500,1/1/16 14:45,MST,3650,P,3.87,P
USGS,09163500,1/1/16 15:00,MST,3660,P,3.88,P
USGS,09163500,1/1/16 15:15,MST,3650,P,3.87,P
USGS,09163500,1/1/16 15:30,MST,3630,P,3.86,P
USGS,09163500,1/1/16 15:45,MST,3610,P,3.85,P
USGS,09163500,1/1/16 16:00,MST,3610,P,3.85,P
USGS,09163500,1/1/16 16:15,MST,3610,P,3.85,P
USGS,09163500,1/1/16 16:30,MST,3630,P,3.86,P
USGS,09163500,1/1/16 16:45,MST,3630,P,3.86,P
USGS,09163500,1/1/16 17:00,MST,3650,P,3.87,P
USGS,09163500,1/1/16 17:15,MST,3660,P,3.88,P
USGS,09163500,1/1/16 17:30,MST,3660,P,3.88,P
USGS,09163500,1/1/16 17:45,MST,3680,P,3.89,P
USGS,09163500,1/1/16 18:00,MST,3680,P,3.89,P
USGS,09163500,1/1/16 18:15,MST,3680,P,3.89,P
USGS,09163500,1/1/16 18:30,MST,3680,P,3.89,P
USGS,09163500,1/1/16 18:45,MST,3680,P,3.89,P
USGS,09163500,1/1/16 19:00,MST,3680,P,3.89,P
USGS,09163500,1/1/16 19:15,MST,3700,P,3.9,P
USGS,09163500,1/1/16 19:30,MST,3720,P,3.91,P
USGS,09163500,1/1/16 19:45,MST,3750,P,3.93,P
USGS,09163500,1/1/16 20:00,MST,3750,P,3.93,P
USGS,09163500,1/1/16 20:15,MST,3770,P,3.95,P
USGS,09163500,1/1/16 20:30,MST,3770,P,3.95,P
USGS,09163500,1/1/16 20:45,MST,3750,P,3.94,P
USGS,09163500,1/1/16 21:00,MST,3740,P,3.92,P
USGS,09163500,1/1/16 21:15,MST,3720,P,3.91,P
USGS,09163500,1/1/16 21:30,MST,3680,P,3.89,P
USGS,09163500,1/1/16 21:45,MST,3660,P,3.88,P
USGS,09163500,1/1/16 22:00,MST,3650,P,3.87,P
USGS,09163500,1/1/16 22:15,MST,3650,P,3.87,P
USGS,09163500,1/1/16 22:30,MST,3610,P,3.85,P
USGS,09163500,1/1/16 22:45,MST,3590,P,3.84,P
USGS,09163500,1/1/16 23:00,MST,3580,P,3.83,P
